English,Indonesia
a,A
abandon,meninggalkan
ability,kemampuan
able,mampu
abortion,abortus
about,tentang
above,di atas
abroad,luar negeri
absence,ketiadaan
absolute,mutlak
absolutely,sangat
absorb,menyerap
abuse,melecehkan
academic,akademik
accept,menerima
access,mengakses
accident,kecelakaan
accompany,menemani
accomplish,menyelesaikan
according,menurut
account,akun
accurate,tepat
accuse,menuduh
achieve,meraih
achievement,pencapaian
acid,asam
acknowledge,mengakui
acquire,mendapatkan
across,lintas
act,bertindak
action,tindakan
active,aktif
activist,aktivis
activity,aktivitas
actor,aktor
actress,aktris
actual,sebenarnya
actually,Sebenarnya
ad,iklan
adapt,menyesuaikan
add,menambahkan
addition,tambahan
additional,tambahan
address,alamat
adequate,memadai
adjust,menyesuaikan
adjustment,pengaturan
administration,administrasi
administrator,administrator
admire,mengagumi
admission,penerimaan
admit,mengakui
adolescent,remaja
adopt,mengambil
adult,dewasa
advance,maju
advanced,canggih
advantage,keuntungan
adventure,petualangan
advertising,iklan
advice,nasihat
advise,menasihati
adviser,penasihat
advocate,menganjurkan
affair,perselingkuhan
affect,memengaruhi
afford,memberi
afraid,takut
African,Afrika
African-American,Amerika Afrika
after,setelah
afternoon,sore
again,lagi
against,melawan
age,usia
agency,agen
agenda,Jadwal acara
agent,agen
aggressive,agresif
ago,yang lalu
agree,setuju
agreement,perjanjian
agricultural,pertanian
ah,ah
ahead,di depan
aid,bantuan
aide,pembantu
AIDS,AIDS
aim,tujuan
air,udara
aircraft,pesawat terbang
airline,perusahaan penerbangan
airport,Bandara
album,album
alcohol,alkohol
alive,hidup
all,semua
alliance,persekutuan
allow,mengizinkan
ally,sekutu
almost,hampir
alone,sendiri
along,bersama
already,sudah
also,Juga
alter,mengubah
alternative,alternatif
although,meskipun
always,selalu
AM,SAYA
amazing,luar biasa
American,Amerika
among,di antara
amount,jumlah
analysis,analisis
analyst,analis
analyze,menganalisa
ancient,kuno
and,Dan
anger,amarah
angle,sudut
angry,marah
animal,satwa
